CROYDONMAQ INDUSTRIAL LTDA
SALDO DE MAQUINAS EM ESTOQUE EM 11/09/2013   HORA: 11:16:55
S I G L A          ;DESCRICAO                                    ;  SALDO
S4MX-A0494-600     ;FOGAO 4B MISTO C/BANHO MARIA E CHAPA ESTAMPAD;      5
S6MC-A0496-600     ;FOGAO 6B MISTO C/CHAPA ESTAMPADO             ;      9
S8M0-A0468-600     ;FOGAO 8B MISTO ESTAMPADO                     ;      6
SACL-10221-650     ;SAND. CONJ. LISA  2550W 127V - CERTIF.       ;      8
SACL-G0225-601     ;SAND. CONJ. LISA GAS                         ;      3
SACQ-20241-650     ;SAND.CONJ. QUADRICULADA 4100W 220V - CERTIF. ;      4
SACQ-G0258-600     ;SAND. CONJ. DE ALUM. CHAPA QUADRICULADA A GAS;      3
SADE-20253-670     ;SAND. DUPLA ESTRIADA DE ALUM. 5000W 220V - CE;      2
SADE-G0259-601     ;SAND. DUPLA DE ALUM. CHAPA ESTRIADA A GAS    ;      2
SADL-10250-650     ;SAND. DUPLA LISA ALUM. 3300W 127V - CERTIF.  ;      2
SADL-20251-650     ;SAND. DUPLA LISA ALUM. 5000W 220V - CERTIF.  ;      8
SADL-G0256-601     ;SAND. DUPLA LISA DE ALUMINIO A GAS           ;      6
SADXG-G00000A1     ;SAND. DUPLA GAS B.INOX EXT.                  ;      4
SAFF-10403-650     ;SAND. PAO FORMA E FRANCES 1850W 127V CERT.   ;     11
SAFF-20448-650     ;SAND. PAO FORMA E FRANCES 2000W 220V CERT.   ;     12
SASE-10157-670     ;SAND. ESTRIADA SIMPLES ALUM. 1550W 127V CERTI;     15
SASE-20158-652     ;SAND. SIMPLES ESTRIADA ALUM. 2500W 220V CERTI;      7
SASE-G0214-601     ;SAND. SIMPLES ESTRIADA ALUM. A GAS           ;      5
SASL-G0213-601     ;SAND. SIMPLES LISA ALUM. A GAS               ;     10
SASQ-20161-650     ;SAND. SIMPLES QUADRICULADA ALUM. 2500W 220V C;      6
SASQ-20161-680     ;SAND. SIMPLES QUADRIC. AL. 2500W 220V CERT. T;      1
SASQ-G0215-601     ;SAND. SIMPLES QUADRICULADA A GAS             ;      1
SCGE-G0262-600     ;SAND.CONJ.ALUM.GRANDE CHAPA ESTRIADA A GAS   ;      4
SCGL-10219-650     ;SAND. CONJ. GRANDE LISA 2550W 127V - CERTIF. ;      2
SCGL-20220-650     ;SAND. CONJ. GRANDE LISA 5500W 220V - CERTIF. ;     10
SDGE-10519-650     ;SAND. DUPLA GRANDE ESTRIADA 3500W 127V - CERT;      1
SDGE-20520-650     ;SAND. DUPLA GRANDE ESTRIADA 6000W 220V - CERT;      1
SDGL-20518-650     ;SAND. DUPLA GRANDE LISA 6000W 220V - CERTIF. ;      3
